userName,skor,at,text,cleaned_text
Mulis Hamusi,negative,2023-12-02 15:10:00,halo admin shopee akun nonaktif cod paket ambil pesan paket yg hubung barang tahan sementarajadi barang kembali tunggu paket kurir jnt yg tolong aktif cod,halo admin shopee akun nonaktif cod paket ambil pesan paket yg hubung barang tahan sementarajadi barang tunggu paket kurir jnt yg tolong aktif cod
Agus Dewantara,negative,2023-12-02 14:33:00,kecewa shopee kali belanja pesan ekspedisi bilang rumah rumah orang ekspedisi hubung kecewa ekspedisi salah tp beli salah shopee beli cod kecewa aplikasi delete shopee perhati bijak,kecewa shopee kali belanja pesan ekspedisi bilang rumah rumah orang ekspedisi hubung kecewa ekspedisi salah tp beli salah shopee beli cod kecewa aplikasi delete shopee perhati bijak
akang umang,negative,2023-12-02 13:44:00,masalah seabank ribet gak cod an,seabank ribet gak cod an
dedi irawan,positive,2023-12-02 13:02:00,voucer gratis ongkir ny gak lg utk cod,voucer gratis ongkir ny gak lg utk cod
Yanti Tesya,negative,2023-12-02 08:47:00,gimana sy ga pesan barang kirim barang nama shopeemana total cod nya nominal,gimana sy ga pesan barang kirim barang nama shopeemana total cod nya nominal
Lusanty Santy,neutral,2023-12-02 08:29:00,download ulang gabisa liat live jual stlah download ulang ttp gabisa liat live jual pdhl udah d baharu ttp gabisa udah gt skrg biaya tangan biaya layan lbh mhl gilir kalo cod gratis ongkir biaya tangan nya mhl aja boong,download ulang gabisa liat live jual stlah download ulang ttp gabisa liat live jual pdhl udah d baharu ttp gabisa udah gt skrg biaya tangan biaya layan lbh mhl gilir kalo cod gratis ongkir biaya tangan nya mhl aja boong
Dwi Arsika,negative,2023-12-02 08:01:00,shopee update layan bagus gratis ongkirnya update jdi beranta pake seabank bar gratis ongkirnya gk cod ruwet nyesel update,shopee update layan bagus gratis ongkirnya update jdi beranta pake seabank bar gratis ongkirnya gk cod ruwet nyesel update
Adelia Munawir,negative,2023-12-02 07:07:00,udah nggak gratis ongkir yg metode cod,udah nggak gratis ongkir yg metode cod
Reza Wijaya,positive,2023-12-02 05:57:00,belanja shopee mudahmurahbanyak gratis ongkirnya suka bayar cod barang harga 500ribu bayar cod ongkirnya murah,belanja shopee mudahmurahbanyak gratis ongkirnya suka bayar cod barang harga ribu bayar cod ongkirnya murah
Naina Silfi,neutral,2023-12-02 04:19:00,dgn shopeemakin berat apk nya yg gk cod bayar nyakalau cepat baik lama shopee shopeesepi,dgn shopeemakin berat apk nya yg gk cod bayar nyakalau cepat shopee shopeesepi
Anggraini â€“,negative,2023-12-01 21:35:00,kesini voucher susah pakai bayar transfer bank seabank cod gk yg harga barang murah mahal banget update aplikasi jelek ,kesini voucher susah pakai bayar transfer bank seabank cod gk yg harga barang murah mahal banget update aplikasi jelek
Haou Jun,positive,2023-12-01 16:50:00,anda metode seller wajibka cod cek bagus jamin bantu penuh butuh hidup orang,metode seller wajibka cod cek bagus jamin bantu penuh butuh hidup orang
El Collection,negative,2023-12-01 15:30:00,mesan barang cod refund toko nya d8 hubung 3 kali pesan ttp,mesan barang cod refund toko nya d hubung kali pesan ttp
Iis Lestari,neutral,2023-12-01 13:37:00,knapa kalo bayar pake transfer bank gk gratis ongkir nya tolong donk d baharu kalo pake cod mahal biaya tangan nya,knapa kalo bayar pake transfer bank gk gratis ongkir nya tolong donk d baharu kalo pake cod mahal biaya tangan nya
Deposa Armamet,negative,2023-12-01 13:33:00,dikit dikit eror masuk bayar eror edit alamat eror tambah aplikasi lot kalah banding topd mending pakai nih aplikasi kurir codnya gak beres nganter paket tunda overal aplikasi tercacad belanja online,dikit dikit eror masuk bayar eror edit alamat eror aplikasi lot kalah banding topd mending pakai nih aplikasi kurir codnya gak beres nganter paket tunda overal aplikasi tercacad belanja online
Siti Mar'atus Sholikha,positive,2023-12-01 11:37:00,suka banget aplikasi banget udah gunain smpe ganti akun belanja apa rumah capek capek cari toko muter muter milih milih liat liat produk suka banget voucher diskon produk voucher diskon kirim cod biaya tambah bayar jg biaya admn g 3500 lo kalo gin suka cod sukses shopee ku,suka banget aplikasi banget udah gunain smpe ganti akun belanja rumah capek capek cari toko muter muter milih milih liat liat produk suka banget voucher diskon produk voucher diskon kirim cod biaya bayar jg biaya admn g lo kalo gin suka cod sukses shopee ku
Lyrae,neutral,2023-12-01 11:27:00,segi fungsi transaksi segi kirim saran laku update user identitas kontak kurir antar langgan kurir hubung beli beli hubung kurir beli cod beli tempat nyaman kurir uang titip simpan hambat,segi fungsi transaksi segi kirim saran laku update user identitas kontak kurir langgan kurir hubung beli beli hubung kurir beli cod beli nyaman kurir uang titip simpan hambat
Ratih Ayu,positive,2023-12-01 10:16:00,suka bgt masya allah barang murah kualitas nya bagus sekali beli shope dapet gratis ongkirr tagih ga suka ragu pas sen barang shopee cod check percaya  shopee the bestt,suka bgt masya allah barang murah kualitas nya bagus beli shope dapet gratis ongkirr tagih ga suka ragu pas sen barang shopee cod check percaya shopee the bestt
Bakhh Bakhha,negative,2023-12-01 10:05:00,aplikasi aneh bayar cod katanyatidak bayar codbayar aneh pakai aplikasi kali,aplikasi aneh bayar cod katanyatidak bayar codbayar aneh pakai aplikasi kali
San SLestari,negative,2023-12-01 07:36:00,shopee gak voucher gratis ongkir yg bayar pake transfer bank codtransfer sea bank yg voucher gratis ongkirnya ,shopee gak voucher gratis ongkir yg bayar pake transfer bank codtransfer sea bank yg voucher gratis ongkirnya
bie lian,positive,2023-12-01 07:20:00,apk shope sdh bilang sempurna fullkan bintang paket codcek dulunya kurir antar paket codcek yg tawar silah cek paket sbg tanda kurir sdh erti beda codcek cod moga sukses depan suka blj shopee murah dpt gratis ongkir,apk shope sdh bilang sempurna fullkan bintang paket codcek dulunya kurir paket codcek yg tawar silah cek paket sbg tanda kurir sdh erti beda codcek cod moga sukses suka blj shopee murah dpt gratis ongkir
ridwan nurdiansyah,positive,2023-12-01 03:40:00,senang belanja shopee bonuskalau bonus cod lgi bonus2 gratis ongkir jugasuksesss selalukalau gratis ongkir bonus sempurnaaa josssssss,senang belanja shopee bonuskalau bonus cod lgi bonus gratis ongkir jugasuksesss selalukalau gratis ongkir bonus sempurnaaa josssssss
Eko Wahyudi,negative,2023-12-01 03:06:00,aduh bel batre xiaomii via cod bayar pay toko ga censel curiga bilang baarang ory eh barang kw harga 2x lipat dr harga kw nya kecewa,aduh bel batre xiaomii via cod bayar pay toko ga censel curiga bilang baarang ory eh barang kw harga x lipat dr harga kw nya kecewa
Oryza Sativa,positive,2023-12-01 01:24:00,aplikasi bagus bantu terkadang aja jual yg nakal dgn cod buka jd atas win solution mksh shopee,aplikasi bagus bantu terkadang aja jual yg nakal dgn cod buka jd win solution mksh shopee
Uut Wulandari,neutral,2023-11-30 23:54:00,shopee ribet banget voucher yg gak cod banyak voucher bayar seabank males belanja shopeesedangkan akun voucher gratis ongkir yg tolong baik semangat belanja nya alih aplikasi,shopee ribet banget voucher yg gak cod voucher bayar seabank males belanja shopeesedangkan akun voucher gratis ongkir yg tolong semangat belanja nya alih aplikasi
Nining Qnoy,positive,2023-11-30 13:15:00,sy suka belanja sinitapi tolong donk biaya cod nya gak bersahabatakhir nya sy ganti pake tf sy guna shopie padahaltapi shopie telpon sy nonaktif akun sy lipat ganda tagih splater syhanya gara sy nilai pesan pake video no resi no tlpon sykalau emang baik masingsetidaknya ancam donksebelumnya gak video unboxing nyaknp kali bikin salahaneh,sy suka belanja sinitapi tolong donk biaya cod nya gak bersahabatakhir nya sy ganti pake tf sy shopie padahaltapi shopie telpon sy nonaktif akun sy lipat ganda tagih splater syhanya gara sy nilai pesan pake video no resi no tlpon sykalau emang masingsetidaknya ancam donksebelumnya gak video unboxing nyaknp kali bikin salahaneh
Oppo A16e,neutral,2023-11-30 13:04:00,yaa min gak cod an nya cod,yaa min gak cod an nya cod
Kiki Septianingsih,positive,2023-11-30 12:28:00,sih pake metode bayar transfer bca jarang dapet gratia ongkir tipe orang males cod shopeepaylater huft,sih pake metode bayar transfer bca jarang dapet gratia ongkir tipe orang males cod shopeepaylater huft
aguz arinto,neutral,2023-11-30 12:02:00,ngak tau sistem cod 12 nyampe pakai paylater udah 3hari ngak nyampe2 krna ngutang gimna yak,ngak tau sistem cod nyampe pakai paylater udah ngak nyampe krna ngutang gimna yak
Letta Al,positive,2023-11-30 11:37:00,beli main gak cod kurir jarang apkainya jt,beli main gak cod kurir jarang apkainya jt
beta yuliastuti,negative,2023-11-30 11:09:00,update lg jd bintang 1 serius ngk paham lg tulis gratis ongkir tp tidk pakai voucer tulis nya cod tp ngk pencet cod nya ongkirnya mahal banget kota sempit yogyakarta ongkir nya 20000 pdhl kemaren ngk nyampe 15000,update lg jd bintang serius ngk paham lg tulis gratis ongkir tp tidk pakai voucer tulis nya cod tp ngk pencet cod nya ongkirnya mahal banget kota sempit yogyakarta ongkir nya pdhl kemaren ngk nyampe
Bandex 07,positive,2023-11-30 10:34:00,kirim nya kadang cod kadang pdhal msih toko yg samad baik kak,kirim nya kadang cod kadang pdhal msih toko yg samad kak
Bagas Winarto,positive,2023-11-30 09:23:00,ok bantu belanja mudah apk nyh fitur cod hilang terima kasih,ok bantu belanja mudah apk nyh fitur cod hilang terima kasih
WP P'er,negative,2023-11-30 07:11:00,pesan cod aktif seller harap order kembang buyer suka cod butuh cod seller kuat cod paket segera kirim kurir berlamalama hemat layan jalan cod retur balas seller kuat buyer klik konfirmasi terima pesan ego shopee,pesan cod aktif seller harap order kembang buyer suka cod butuh cod seller kuat cod paket kirim kurir berlamalama hemat layan jalan cod retur balas seller kuat buyer klik konfirmasi terima pesan ego shopee
Dwi Lestiono,negative,2023-11-30 05:33:00,udah gak nyaman expedisi pilih sopee klo tau mending gak payment barang nya mending cod duit modal biar muter,udah gak nyaman expedisi pilih sopee klo tau mending gak payment barang nya mending cod duit modal biar muter
Kawan Mancing,positive,2023-11-30 03:17:00,suka mantap puas belanja shoppe masuk tolong shoppe kembali gratis ongkira metode bayar tf cod nya sy lihat kq minimal beli yg br bs ongkir ga kaya dlu beli barang msh free ongkir skrg kq mesti sea bank pembayarana br bs ongkira dsini sy nyaman saran sy kembali free ongkir minimum beli metode cod paylater transfers terima kasih,suka mantap puas belanja shoppe masuk tolong shoppe gratis ongkira metode bayar tf cod nya sy lihat kq minimal beli yg br bs ongkir ga kaya dlu beli barang msh free ongkir skrg kq mesti sea bank pembayarana br bs ongkira dsini sy nyaman saran sy free ongkir minimum beli metode cod paylater transfers terima kasih
safitri ifc,positive,2023-11-30 01:55:00,aplikasi berat udh gt biaya layan sm tangan gede klo cod,aplikasi berat udh gt biaya layan sm tangan gede klo cod
Soekarno,neutral,2023-11-29 23:02:00,code kadaluarsa copot aplikasi guna,code kadaluarsa copot aplikasi
Vina Afriantinie,positive,2023-11-29 20:49:00,belanja mudah mana fitur cod buka bayar sukses shopee indonesia,belanja mudah fitur cod buka bayar sukses shopee indonesia
kempleng â€œKemplengâ€ aja,negative,2023-11-29 18:00:00,ngak toko nya cod shopee nya ngak codmakin ribetlemot kurang,ngak toko nya cod shopee nya ngak codmakin ribetlemot
Viiska Novia,negative,2023-11-29 15:12:00,lama shope ko ga sih skarang bayar splater gada yg 1 kali bayar langsung cicil 3612 ga kya gin pdahal bayar spinjam or splater slalu udah gtu skarang gratis ongkir minim ga klo skarang gratis ongkirnya yg shope video ga toko video klo cod tambah biaya sen makan skarang gratis ongkir diskon ongkir hadeuhhhh parah,shope ko ga sih skarang bayar splater gada yg kali bayar langsung cicil ga kya gin pdahal bayar spinjam or splater slalu udah gtu skarang gratis ongkir minim ga klo skarang gratis ongkirnya yg shope video ga toko video klo cod biaya sen makan skarang gratis ongkir diskon ongkir hadeuhhhh parah
Dark Crusade games,positive,2023-11-29 13:56:00,shopee filter pencarin cod mes muncul toko yg aktif cod fungsi filter cari,shopee filter pencarin cod mes muncul toko yg aktif cod fungsi filter cari
Feranti Eman,negative,2023-11-29 13:24:00,spx manado sangatsangat buruk orang yg kantorgudang paket bongkar karung tibatiba masuk notif shopee hp paket nyata hilang yah niat kerja nggak si tutup aja deh spx kalo sistem kirim pesan barang cod bayar paket tibatiba nyata hilang paket hilang mana hilang ambil kurir hilang mana spx nggak,spx manado sangatsangat buruk orang yg kantorgudang paket bongkar karung tibatiba masuk notif shopee hp paket nyata hilang yah niat kerja nggak si tutup aja deh spx kalo sistem kirim pesan barang cod bayar paket tibatiba nyata hilang paket hilang hilang ambil kurir hilang spx nggak
Wisda Wati,positive,2023-11-29 12:34:00,tolong shoopee opsi kirim jt gara jtaq gak codpaket gak antar dipulangkanalasan kurir,tolong shoopee opsi kirim jt gara jtaq gak codpaket gak dipulangkanalasan kurir
Queensyah Milan,negative,2023-11-29 12:28:00,order brng dr tgl 12 trus tgl 13 udah dikirm seller e tp tgl brng e blm sampaiudah chat ma cs e suruh batalin pesan g klo brng g nerima brng e akun kena penalti sitem cod g pakai 60 sungguh mebagongkansaya sengaja tolak brng estimasi pengirman e kurir shope express bayangin aja dr tgl 13 29 brng blm nyampe,order brng dr tgl trus tgl udah dikirm seller e tp tgl brng e blm sampaiudah chat ma cs e suruh batalin pesan g klo brng g nerima brng e akun kena penalti sitem cod g pakai sungguh mebagongkansaya sengaja tolak brng estimasi pengirman e kurir shope express bayangin aja dr tgl brng blm nyampe
Bagus Rasido,positive,2023-11-29 10:02:00,terimakasih shopee bantu belanja murahsayangnya bisa cod,terimakasih shopee bantu belanja murahsayangnya cod
Wewe Adventure,negative,2023-11-29 10:00:00,knp lgi shopeeeee susah nyari toko yg codknp arah bayar seeehhhbank,knp lgi shopeeeee susah nyari toko yg codknp arah bayar seeehhhbank
Bayu,negative,2023-11-29 06:57:00,bintang suka alas nonaktif cod yg salah kurir yg kurir paket kirim tolong sedia bayar total sekian menunggutpi notifkabar dri kurir tersebutok terimakasih,bintang suka alas nonaktif cod yg salah kurir yg kurir paket kirim tolong sedia bayar total sekian menunggutpi notifkabar dri kurir tersebutok terimakasih
Ainul Romadlona,positive,2023-11-29 06:33:00,bagus ya bagus banget sayang gak cod coba alih lazada lazada gratis ongkir 20ribu 6 x g cod trus alih shopee lite cod murah bngt mahal aplikasi nya ringan simpan micro sd ram memori internal,bagus ya bagus banget sayang gak cod coba alih lazada lazada gratis ongkir ribu x g cod trus alih shopee lite cod murah bngt mahal aplikasi nya ringan simpan micro sd ram memori internal
ranaura,negative,2023-11-29 05:31:00,log in nya susah gajelas lgi suruh verifikasi scan barcode susah banget kalo gin gbisa belanja kecewa banget sih scan jg tinggal log in sulit hidup aja,log in nya susah gajelas lgi suruh verifikasi scan barcode susah banget kalo gin gbisa belanja kecewa banget sih scan jg tinggal log in sulit hidup aja
Siti Anggraini,negative,2023-11-29 03:37:00,shoope skrg ga enak masa gratis ongkirnya pkek sea bank cod ooooooooooo udh bgus shope kemarin baru bknnya mkin bgus mkin ribet,shoope skrg ga enak gratis ongkirnya pkek sea bank cod ooooooooooo udh bgus shope kemarin bknnya mkin bgus mkin ribet
Arti Citra,positive,2023-11-29 02:32:00,dar masukanuntuk biaya nang yg sistem cod,dar masukanuntuk biaya nang yg sistem cod
Erna Moka,positive,2023-11-28 16:34:00,aplikasi shopee bagus banyak cod terima cod kurir sampe ruma apa2 pokok bagus la,aplikasi shopee bagus cod terima cod kurir sampe ruma pokok bagus la
Ahmad Dayak,negative,2023-11-28 15:06:00,klo pesan barang aneh beli 1 brg cod tpi beli 1 jenis yg cod depan payah,klo pesan barang aneh beli brg cod tpi beli jenis yg cod payah
Abdul Rohman,neutral,2023-11-28 14:42:00,puas karna toko buka bayar cod sangan bantu orang rekening bank ya bijak toko,puas karna toko buka bayar cod sangan bantu orang rekening bank ya bijak toko
Nur putri,negative,2023-11-28 13:36:00,2 aja pelit diskon gratis ongkir mending cod diskon ongkir payment via bank gak diskon ongkirnya diskon ongkir kalo payment via seabank,aja pelit diskon gratis ongkir mending cod diskon ongkir payment via bank gak diskon ongkirnya diskon ongkir kalo payment via seabank
Ð¼Ð°Ð¼Ð·Ð¸,negative,2023-11-28 13:26:00,muncul codpadahal toko,muncul codpadahal toko
Davn Yudzs,negative,2023-11-28 13:24:00,lot nya gk ngotak lu nyruh gw bersihin lama gw bersihin tu pala lu ampe botak daftar pake wifi aja gk checkout gk nya sih ngebodohin orang klo gk niat apk gk apus aja mentang dah laris apk nya serah gitu aja gk puasin orang yg darah ama ni apkudah gk cod,lot nya gk ngotak lu nyruh gw bersihin gw bersihin tu pala lu ampe botak daftar pake wifi aja gk checkout gk nya sih ngebodohin orang klo gk niat apk gk apus aja mentang dah laris apk nya serah gitu aja gk puasin orang yg darah ama ni apkudah gk cod
wOOops bbOom,negative,2023-11-28 12:12:00,update aplikasi tetep lot wifi lancar aplikasi nya tetep lot mohon baik suka barangbarang shopee lot milih milih barang kesini parah buka shopee aja udah loading mulu ngeselin trus dar saran kalo bs bayar cod bolehin tengah pake saldo shopeepay yg sisa biar kyk apl belah,update aplikasi tetep lot wifi lancar aplikasi nya tetep lot mohon suka barangbarang shopee lot milih milih barang kesini parah buka shopee aja udah loading mulu ngeselin trus dar saran kalo bs bayar cod bolehin pake saldo shopeepay yg sisa biar kyk apl belah
goprex,negative,2023-11-28 11:27:00,cod pake spaylater cicil trasnfer bank ribet,cod pake spaylater cicil trasnfer bank ribet
Hesti,negative,2023-11-28 11:26:00,belanja voucher gk banyak voucher bayar sea bank gk gunacod gk tutup ja sklian aplikasi,belanja voucher gk voucher bayar sea bank gk gunacod gk tutup ja sklian aplikasi
Jesenta Gunawan,negative,2023-11-28 10:40:00,kasih 5 star kurang nya 1 1 star 1 usul co yg noncod opsi kirim milih reguler pilih milih jt gak pilih pas udah co kirim dgn sicepat pilih nya cod aja yg jt usul pilih reguler nya opsi kirim suka kirim dgn jt,kasih star nya star usul co yg noncod opsi kirim milih reguler pilih milih jt gak pilih pas udah co kirim dgn sicepat pilih nya cod aja yg jt usul pilih reguler nya opsi kirim suka kirim dgn jt
Jaka Resik,negative,2023-11-28 09:50:00,beli system transfer gagal kirim mangkrak berhari2 hub sortir jakarta sya belanja shopee system cod cepat kirim saran beli shopee transfer klo gk kecewa,beli system transfer gagal kirim mangkrak hub sortir jakarta sya belanja shopee system cod cepat kirim saran beli shopee transfer klo gk kecewa
Deni Firmansyah,positive,2023-11-28 09:07:00,shopy layan bagus seler2 nya tolong shopy toko jasa cod cek barang dlu bayar barang yg kirim asal2an thnk,shopy layan bagus seler nya tolong shopy toko jasa cod cek barang dlu bayar barang yg kirim thnk
Dwi Purnamariansyah,negative,2023-11-28 07:56:00,lucu ya shoppe skrng mudah sulit guna shoppebayar tf lalu mbanking ga gratis ongkir kecuali codseabank gratis ongkirsebelumnya gratis ongkir knp skrng ga gratis ongkir byr tf pake mbankingsangat sayang bgt,lucu ya shoppe skrng mudah sulit shoppebayar tf mbanking ga gratis ongkir kecuali codseabank gratis ongkirsebelumnya gratis ongkir knp skrng ga gratis ongkir byr tf pake mbankingsangat sayang bgt
estya hazby,positive,2023-11-28 07:40:00,gimana belanja metode bayar cod bisa cod,gimana belanja metode bayar cod cod
Nurhayati Farhana Rahman,neutral,2023-11-28 05:06:00,update versi gak klik sistem cod  klik sistem codnya ,update versi gak klik sistem cod klik sistem codnya
Jehn Heejin,negative,2023-11-28 01:43:00,males belanja shoope kirim nya udh ga prnh blnja wkwk mending belah lazadut 1 hari2hari lgsung paket cod harbonas cepet mantap klo shope si yah 2 minggu males blnja dsini lelet kirim nya mending belah lazadut cod cepet bgt 12,males belanja shoope kirim nya udh ga prnh blnja wkwk mending belah lazadut harihari lgsung paket cod harbonas cepet mantap klo shope si yah minggu males blnja dsini lelet kirim nya mending belah lazadut cod cepet bgt
Putri Cahyani,positive,2023-11-27 23:08:00,barang shoppe mudah temu voucher gratis ongkir cod tf kirim barang atur,barang shoppe mudah temu voucher gratis ongkir cod tf kirim barang atur
Basri Yuhendra,positive,2023-11-27 23:06:00,barang cod kirim sesuai pesan tolakcod non aktif blanja shope 2019tidak adil andai bayar transfer parah lg barang kirim sesuai pesananmau retur proses lamayang lindung konsumen dagang nakallaporan konsumen dgn alat bukti tanggapiseharusnya yg blokir dagang nakal sesuai lapor konsumen yg rugi sulit,barang cod kirim sesuai pesan tolakcod non aktif blanja shope adil andai bayar transfer parah lg barang kirim sesuai pesananmau retur proses lamayang lindung konsumen dagang nakallaporan konsumen dgn alat bukti tanggapiseharusnya yg blokir dagang nakal sesuai lapor konsumen yg rugi sulit
Randy Ajo,negative,2023-11-27 16:43:00,lumayan kecewa jual gak aktif cod beli kesini males belanja online,lumayan kecewa jual gak aktif cod beli kesini males belanja online
Es Teh enak,negative,2023-11-27 15:05:00,lebih kurang aplikasi shoppe lebih nya tampil elegan cari pilih barang lokasi atur cari wilayah live mudah diskon potong ongkir kurang aplikasi tampil cod mes barang sistem cod biaya tangan diskon kurang,aplikasi shoppe nya tampil elegan cari pilih barang lokasi atur cari wilayah live mudah diskon potong ongkir aplikasi tampil cod mes barang sistem cod biaya tangan diskon
Lalitya Paramarta Jarwoto,negative,2023-11-27 14:00:00,shopee g sistem cod seabank dgn alas lihat aja bentar g laku shopee langgan suka cod malas ribet g sistem cod tunggu bentar g unjung maaf turunin bintang,shopee g sistem cod seabank dgn alas lihat aja bentar g laku shopee langgan suka cod malas ribet g sistem cod tunggu bentar g unjung maaf turunin bintang
Aldebaran Mimah,positive,2023-11-27 13:27:00,suka gratis ongkir cod bayar,suka gratis ongkir cod bayar
Ekawulan Vi,positive,2023-11-27 05:57:00,disko emang ya kirim via cod gamenya gak kaya serame gak dimainin koinya ludes,disko emang ya kirim via cod gamenya gak kaya serame gak dimainin koinya ludes
Hartati,negative,2023-11-27 01:41:00,gimana sih shoope klik metode bayar sp later tagih jatuh tempo deoan eh pesan ubah cod aju batal tiba2 aju batal ubah batal jual ngga konfirmasi batal kecewa,gimana sih shoope klik metode bayar sp later tagih jatuh tempo deoan eh pesan ubah cod aju batal aju batal ubah batal jual ngga konfirmasi batal kecewa
indrya harti,positive,2023-11-27 00:29:00,shoppee bagus banding online shop klu sih yalebih percaya cm klu cod lho biaya tangan bs mahal bgtjadi jatuh ga hemat,shoppee bagus banding online shop klu sih yalebih percaya cm klu cod lho biaya tangan bs mahal bgtjadi jatuh ga hemat
Rouzah mardiana.17,negative,2023-11-26 23:24:00,respect shopee update nggk karuan fitur nya reseller susah fitur tawar udah ilangin udah platinum bknnya nmbah bnyak voucher dikit voucher nya cma bnyak voucher live seabank paylatter ak yg suka fitur cod jd beli voucher jd tmbah rugi kalok jual tlong min kembali shopee sedia,respect shopee update nggk karuan fitur nya reseller susah fitur tawar udah ilangin udah platinum bknnya nmbah bnyak voucher dikit voucher nya cma bnyak voucher live seabank paylatter ak yg suka fitur cod jd beli voucher jd tmbah rugi kalok jual tlong min shopee sedia
aries priyanto,negative,2023-11-26 16:52:00,gimana bossskrng blanja pake sistem codkok susah sekalipdhal tko jual cantum sistem codpas gilir check out jdi tdk codsya cba ting bayar biar codtetep nda bisapdhal sya tdk batal pesan sblumnya salah lainnyajadi males klo blanja lgi boss,gimana bossskrng blanja pake sistem codkok susah sekalipdhal tko jual cantum sistem codpas gilir check out jdi tdk codsya cba ting bayar biar codtetep nda bisapdhal sya tdk batal pesan sblumnya salah lainnyajadi males klo blanja lgi boss
Siti Bima,negative,2023-11-26 13:14:00,kecewa jelek udah toko yg gak aktifin cod dah gitu nya lot,kecewa jelek udah toko yg gak aktifin cod dah gitu nya lot
Fijar Siswoyo,positive,2023-11-26 12:19:00,bagus tolong expedisi jt baik kurir daerah langgan protes ma salah pesan ngga terima pesan selesai kandi beli non cod,bagus tolong expedisi jt kurir daerah langgan protes ma salah pesan ngga terima pesan selesai kandi beli non cod
Amri Gustoni,positive,2023-11-26 11:53:00,shopee oke layan nya belanja barang gk codharus transperndak sesuai iklan nyaitu yg ndak cocoksemu ndak kendalaoke oke aja,shopee oke layan nya belanja barang gk codharus transperndak sesuai iklan nyaitu yg ndak cocoksemu ndak kendalaoke oke aja
Choco mento,positive,2023-11-26 08:00:00,aja bbrp hr beli barang tp lupa utk difotovideo krna yg terima org rumah barang coba komplain shopeesaya udah pasrah sya bukti plus bayar cod gak sangka kembali shopee terima kasih ya uang 39000 org tp sgt terima kasih shopee ajar bt kali divideoin sbg bukti,aja bbrp hr beli barang tp lupa utk difotovideo krna yg terima org rumah barang coba komplain shopeesaya udah pasrah sya bukti plus bayar cod gak sangka shopee terima kasih ya uang org tp sgt terima kasih shopee ajar bt kali divideoin sbg bukti
Channelnya Teh Irma,neutral,2023-11-26 07:50:00,mohon maaf belanja shopee atur nyacod aja biaya nang nya yg 20 ribu loh bayar nya wkwkwkongkir nya gratis biaya nya lebih ongkirtrs cekout 30ribu saldo shopee pay 34ribu eh gak pakai bikin pusinggiliran cekout bayar transfer bank eh gratis ongkir nya hilanginmesti buka seabank ada2 aja,mohon maaf belanja shopee atur nyacod aja biaya nang nya yg ribu loh bayar nya wkwkwkongkir nya gratis biaya nya ongkirtrs cekout ribu saldo shopee pay ribu eh gak pakai bikin pusinggiliran cekout bayar transfer bank eh gratis ongkir nya hilanginmesti buka seabank aja
Dwi Putra Salju,negative,2023-11-26 06:02:00,ongkirnya mahal barang mending lapak belah ongkirnya terang bsa cod pakai vocher yg ktanya gratis ongkir mahal ad yg murah ongkir tdk bsa cod payah gratis ongkir mahok,ongkirnya mahal barang mending lapak belah ongkirnya terang bsa cod pakai vocher yg ktanya gratis ongkir mahal ad yg murah ongkir tdk bsa cod payah gratis ongkir mahok
Julis Tiani,negative,2023-11-26 04:45:00,x nisudah kirim alamat batal belah pihakkurir nya alamatjg hubung nelpon konsumenpihak shoppe cod nya batal x non aktif cod nyapadahal kurir nya gk hbgicall dtg alamat penerimagimana konsumen belanja aplikasi shoppe,x nisudah kirim alamat batal belah pihakkurir nya alamatjg hubung nelpon konsumenpihak shoppe cod nya batal x non aktif cod nyapadahal kurir nya gk hbgicall dtg alamat penerimagimana konsumen belanja aplikasi shoppe
Triyandi Perangin Angin,negative,2023-11-26 01:55:00,cod nonaktif shoope kurir tak antar paket ekspedisi salah fasilitas cod nonaktiknan selamat tinggal shopee uninstal,cod nonaktif shoope kurir paket ekspedisi salah fasilitas cod nonaktiknan selamat tinggal shopee uninstal
Iyank Adyana,negative,2023-11-25 10:55:00,tolong shoppee perhati ya kali kena tipu barang yg engga pesan sistem cod engga cod mohon perhati ya hati2 orang engga rumah yg terima orang,tolong shoppee perhati ya kali kena tipu barang yg engga pesan sistem cod engga cod mohon perhati ya hati orang engga rumah yg terima orang
Oskar djaja Nontji,positive,2023-11-25 10:22:00,cod ko tdk nyata promosi ngimana nih shopeenya bohong komsumen,cod ko tdk nyata promosi ngimana nih shopeenya bohong komsumen
User 240,negative,2023-11-25 10:11:00,shopee tanggung user anteraja ngulah barang ga kembali seller bilang buyer ga cod kurir spx ga modal kuota nge wa pergi telepon hilang sempat cod ga pakai shopee anteraja busuk ga profesional,shopee tanggung user anteraja ngulah barang ga seller bilang buyer ga cod kurir spx ga modal kuota nge wa pergi telepon hilang cod ga pakai shopee anteraja busuk ga profesional
Vivo Purun,negative,2023-11-25 09:30:00,paket ny gk hantar gk terimaeh metode cod ny nonaktif hadeh,paket ny gk hantar gk terimaeh metode cod ny nonaktif hadeh
Yami Arry,negative,2023-11-25 09:04:00,kayak taik mesan cod biaya layan tangan bunyi gratis ongkir nama taik,kayak taik mesan cod biaya layan tangan bunyi gratis ongkir nama taik
